ID;Role;Action;Benefice;Criteres_Acceptation
US-101;Visiteur;voir une page de connexion;pouvoir m'identifier;"- Champs email, mot de passe.
- Bouton ""Se connecter"".
- Lien ""Mot de passe oublié"" (Hors V1)."
US-102;Utilisateur (tous);me connecter avec mon email et mot de passe;accéder à mon espace personnel;"- Si succès : redirection vers le dashboard.
- Si échec : message d'erreur clair (ex: ""Email ou mot de passe incorrect"").
- Le JWT est stocké en cookie httpOnly."
US-103;Utilisateur connecté;pouvoir me déconnecter;sécuriser mon compte;"- Bouton ""Se déconnecter"".
- Redirection vers la page de connexion.
- Le cookie JWT est supprimé."
US-104;Utilisateur connecté;accéder à ma page ""Mon Profil"";voir mes informations personnelles;"- Affiche : Nom, Prénom, Email, Rôle, Département, Manager N+1."
US-105;Utilisateur connecté;(ne pas) pouvoir modifier mon rôle ou mon manager;garantir l'intégrité de l'organigramme;"- Les champs Rôle, Département, Manager sont en lecture seule."
US-201;Collaborateur;accéder à mon dashboard personnel;voir la liste de *mes* demandes et leur statut;"- Affiche un tableau de *mes* demandes (Titre, Statut, Coût, Date).
- Affiche un bouton ""Nouvelle Demande""."
US-202;Collaborateur;cliquer sur ""Nouvelle Demande"";accéder au formulaire de création;"- Affiche le formulaire de soumission vierge."
US-203;Collaborateur;remplir les champs de base de ma demande;la qualifier précisément;"- Champs : Titre, Description, Coût estimé (HT), Type (Obligatoire, Plan, CPF...)."
US-204;Collaborateur;sélectionner un organisme de formation;spécifier qui dispense la formation;"- Peut sélectionner dans une liste (table `providers`).
- Peut ajouter le nom d'un nouvel organisme (crée une entrée simple)."
US-205;Collaborateur;renseigner les dates de début et de fin souhaitées;informer sur la période;"- Utilisation de sélecteurs de date (calendriers)."
US-206;Collaborateur;uploader des documents joints;fournir le devis et le programme;"- Champ d'upload (glisser-déposer).
- Accepte PDF, DOCX, PNG, JPG.
- Les fichiers sont liés à la demande (table `documents`)."
US-207;Collaborateur;sauvegarder ma demande en brouillon (`DRAFT`);y revenir plus tard avant de la soumettre;"- Bouton ""Enregistrer en brouillon"".
- La demande apparaît dans mon dashboard avec le statut `DRAFT`."
US-208;Collaborateur;soumettre ma demande pour validation;lancer le workflow d'approbation;"- Bouton ""Soumettre"".
- Vérification : tous les champs obligatoires sont remplis.
- Statut passe à `PENDING_MANAGER`."
US-209;Collaborateur;voir le statut de ma demande changer en temps réel;suivre son avancée;"- Mon dashboard reflète le statut (`PENDING_MANAGER`, `PENDING_RH`, `APPROVED`...)."
US-210;Collaborateur;recevoir une notification quand ma demande est approuvée;être informé de la décision finale;"- Email reçu (via Make) quand statut = `APPROVED`."
US-211;Collaborateur;recevoir une notification (avec motif) si ma demande est refusée;comprendre la raison du refus;"- Email reçu (via Make) quand statut = `REJECTED`.
- L'email contient le commentaire de refus."
US-212;Collaborateur;voir l'historique des validations sur ma demande;savoir qui a fait quoi;"- Onglet ""Historique"" sur le détail de la demande.
- Affiche : ""Validé par M. Martin (Manager)"", ""Validé par Mme Dupont (RH)""."
US-213;Collaborateur;(ne pas) voir les demandes des autres collègues;garantir la confidentialité;"- L'API doit retourner *uniquement* les demandes où `user_id` = mon ID."
US-214;Collaborateur;modifier ma demande si elle est en `DRAFT`;corriger des erreurs;"- Le formulaire est éditable si `status` = `DRAFT`."
US-215;Collaborateur;(ne pas) pouvoir modifier ma demande après soumission;garantir l'intégrité du workflow;"- Le formulaire est en lecture seule si `status` != `DRAFT`."
US-216;Collaborateur;uploader le programme de formation lors de la création de ma demande;fournir le document de référence;"- Champ d'upload pour le programme de formation.
- Formats acceptés : JPG, JPEG, PNG, PDF.
- Le fichier est lié à la demande avec le type `PROGRAMME`."
US-217;Collaborateur;recevoir des suggestions de formations en tapant le nom;trouver facilement des formations disponibles en France;"- Lors de la saisie du titre, affichage de suggestions basées sur un catalogue de formations.
- Les suggestions proviennent d'une recherche dans un catalogue intégré de formations françaises.
- Possibilité de sélectionner une suggestion pour pré-remplir les champs."
US-218;Collaborateur;consulter le catalogue de formations intégré;découvrir les formations disponibles en France;"- Accès à un catalogue de formations avec recherche par mots-clés.
- Affichage des formations avec organisme, description, durée, coût estimé.
- Possibilité d'ajouter une formation du catalogue à ma demande."
US-301;Manager;accéder à un dashboard ""Mon Équipe"";voir les demandes de mes collaborateurs directs en attente;"- Affiche un tableau des demandes où `manager_id` = mon ID ET `status` = `PENDING_MANAGER`."
US-302;Manager;recevoir une notification (Email/Slack) quand une demande m'est assignée;être réactif et ne pas bloquer le process;"- Make envoie un message quand une demande passe à `PENDING_MANAGER`."
US-303;Manager;consulter le détail complet d'une demande;prendre une décision éclairée;"- Vois tous les champs (Titre, Coût, Type...).
- Peux télécharger les pièces jointes (devis, programme)."
US-304;Manager;voir un rappel visuel du budget de mon département;valider en conscience des coûts;"- Affiche : Budget dispo, Budget engagé, Coût de la demande."
US-305;Manager;""Approuver"" la demande;l'envoyer à l'étape suivante (RH);"- Bouton ""Approuver"".
- Statut passe à `PENDING_RH`.
- Une ligne est ajoutée à `validation_history`."
US-306;Manager;""Refuser"" la demande;la stopper pour une raison valable;"- Bouton ""Refuser"".
- Un champ ""Motif"" (commentaire) devient **obligatoire**.
- Statut passe à `REJECTED`.
- L'historique est mis à jour."
US-307;Manager;""Demander un complément"";demander une correction au collaborateur;"- Bouton ""Demander complément"".
- Champ ""Commentaire"" obligatoire.
- Statut repasse à `DRAFT`."
US-311;Manager;cliquer sur une demande de mon équipe;consulter le détail complet pour prendre une décision éclairée;"- Clic sur une demande dans le tableau du dashboard.
- Redirection vers une page de détail affichant toutes les informations.
- Affichage des documents joints (programme, devis).
- Affichage de l'historique des validations."
US-312;Manager;mettre une demande en ""Priorité 2"";mettre en standby pour arbitrage ultérieur;"- Bouton ""Priorité 2"" disponible sur les demandes `PENDING_MANAGER`.
- Champ ""Commentaire"" optionnel pour expliquer la raison.
- Statut passe à `PRIORITY_2`.
- La demande reste visible mais en attente d'arbitrage.
- L'historique est mis à jour."
US-313;Manager;voir les demandes en ""Priorité 2"" dans mon dashboard;suivre les demandes en standby;"- Les demandes `PRIORITY_2` apparaissent dans le tableau du dashboard manager.
- Affichage distinctif du statut `PRIORITY_2`.
- Possibilité de les réactiver ultérieurement."
US-308;Manager;voir l'historique des demandes de mon équipe (pas seulement les miennes);suivre le développement de mes N-1;"- Onglet ""Historique Équipe"" affichant toutes les demandes (approuvées, refusées...) de ses N-1."
US-309;Manager;(ne pas) voir les demandes d'autres départements;garantir le cloisonnement des données;"- L'API doit filtrer les demandes basées sur l'ID du manager."
US-310;Manager;recevoir un rappel si une demande est en attente chez moi > 3 jours;ne pas oublier de valider;"- Scénario Make ""Rappel Manager""."
US-314;Manager;voir une page dédiée ""Budget équipe"";avoir une vision précise et concrète du budget;"- Nouvelle section dans la sidebar.
- Affiche : Budget Initial, Budget Engagé (Validé/Planifié), Budget Consommé (Réalisé), Budget Restant."
US-401;RH;accéder à un dashboard global;voir *toutes* les demandes en attente de validation RH;"- Affiche un tableau de *toutes* les demandes avec `status` = `PENDING_RH`."
US-402;RH;voir l'état des budgets de *tous* les départements;piloter la masse budgétaire;"- Affiche le dashboard des budgets (Alloué, Engagé, Réalisé, Dispo) par département."
US-403;RH;consulter le détail complet d'une demande;vérifier la conformité et le budget;"- Vois le détail + l'historique (qui a validé avant moi)."
US-404;RH;""Approuver"" la demande (validation finale);engager le budget et autoriser la formation;"- Bouton ""Approuver"".
- Statut passe à `APPROVED`.
- Le `budget_engaged` du département est **automatiquement mis à jour** (+ coût demande)."
US-405;RH;""Refuser"" la demande (validation finale);bloquer la demande (budget, non-conformité...);"- Bouton ""Refuser"".
- Motif obligatoire.
- Statut passe à `REJECTED`.
- Le budget n'est pas impacté."
US-406;RH;marquer une demande comme ""Planifiée"";confirmer l'inscription administrative;"- Statut `APPROVED` -> `PLANNED`.
- Action manuelle du RH."
US-407;RH;uploader la convention de formation signée;archiver les documents légaux (Étape 1);"- Sur une demande `PLANNED`, upload du document type `CONVENTION`."
US-408;RH;marquer une demande comme ""Réalisée"";clôturer la formation administrativement;"- Statut `PLANNED` -> `COMPLETED`.
- Une pop-up demande de confirmer la réception de l'attestation."
US-409;RH;uploader l'attestation de présence et la facture;finaliser l'archivage légal (Étape 2);"- Sur une demande `COMPLETED`, upload des documents `ATTESTATION` et `FACTURE`."
US-410;RH;voir le budget ""Engagé"" devenir ""Réalisé"";mettre à jour la comptabilité budgétaire;"- Quand statut -> `COMPLETED`, le coût est **soustrait** de `budget_engaged` et **ajouté** à `budget_consumed`."
US-411;RH;(ne pas) voir les brouillons (`DRAFT`) des collaborateurs;respecter la confidentialité avant soumission;"- Le dashboard RH ne doit *jamais* afficher les demandes en statut `DRAFT`."
US-412;RH;exporter la liste des formations réalisées (CSV);pour les reportings légaux (ex: BDES);"- Bouton ""Export CSV"" sur le dashboard (filtre : `COMPLETED`, Année N)."
US-413;RH;gérer la liste des organismes (`Providers`);maintenir un référentiel propre;"- Interface CRUD simple pour `providers` (Ajouter, Modifier)."
US-501;Admin;accéder à un panneau d'administration;gérer la structure de l'entreprise;"- Section ""Admin"" séparée dans l'UI."
US-502;Admin;créer, voir, modifier et désactiver des utilisateurs;gérer les arrivées et départs;"- Interface CRUD pour la table `users`."
US-503;Admin;assigner un rôle, un département et un manager à un utilisateur;construire l'organigramme et les workflows;"- Menus déroulants lors de la création/modification d'un `user`."
US-504;Admin;(ne pas) voir les mots de passe des utilisateurs;respecter les règles de sécurité de base;"- Le champ mot de passe n'est jamais affiché (seulement ""Réinitialiser mdp"")."
US-505;Admin;gérer les départements;créer les entités budgétaires;"- Interface CRUD pour la table `departments`."
US-506;Admin;allouer le budget annuel par département;initialiser l'année fiscale;"- Champ `budget_allocated` et `year` sur la fiche département."
US-507;Admin;(V1.5) configurer les types de formation;adapter l'outil aux spécificités de l'entreprise;"- Gérer les `request_type` (OBLIGATOIRE, PLAN...)."
US-508;Admin;voir les logs d'erreurs (simplifié);diagnostiquer les problèmes;"- (Hors V1, mais à prévoir) Une vue des erreurs API."
US-414;RH;voir le montant engagé de chaque département;piloter la gestion budgétaire;"- Le montant engagé correspond à la somme des coûts des formations **approuvées par un manager puis par le RH** (statut `APPROVED` ou `PLANNED`), dont la date de fin n'est pas encore dépassée."
US-415;Système;passer automatiquement une dépense de 'engagée' à 'réalisée';garantir la réalité budgétaire en temps réel;"- Dès que la date de fin de la formation (`end_date`) est dépassée ou que le RH clique sur 'Clôturer', le coût passe de 'engagé' à 'réalisé'.
- Le statut de la demande devient `COMPLETED`.
- Le montant engagé du département est diminué du coût de la formation, le montant réalisé est augmenté du même montant."

US-408;RH;marquer une demande comme ""Réalisée"";clôturer la formation administrativement;"- Statut `PLANNED` -> `COMPLETED`.
- Une pop-up demande de confirmer/saisir les `actual_start_date` et `actual_end_date` (obligatoires pour passer `COMPLETED`).
- L'upload de l'attestation est fortement suggéré (voir US-409)."
; AJOUTS POUR GESTION DES DATES RÉELLES
